Number,Workflow,BurstID,Simple,Extended,Other,Too Noisy,Verify,Follow
1,25780,95274914,0,0,0,1,,"[0, 0, 0, 0, 0]"
2,25780,95274920,0,0,0,1,,"[0, 0, 0, 0, 0]"
3,25780,95274981,0,0,0,2,,"[0, 0, 0, 0, 0]"
4,25780,95274986,0,0,0,1,,"[0, 0, 0, 0, 0]"
5,25780,95274992,0,0,0,2,,"[0, 0, 0, 0, 0]"
6,25780,95274994,0,0,0,1,,"[0, 0, 0, 0, 0]"
7,25780,95275005,0,0,0,1,,"[0, 0, 0, 0, 0]"
8,25780,95275007,0,0,0,1,,"[0, 0, 0, 0, 0]"
9,25780,95275013,0,0,0,1,,"[0, 0, 0, 0, 0]"
10,25780,95275051,0,0,0,1,,"[0, 0, 0, 0, 0]"
11,25780,95275068,0,0,0,3,,"[0, 0, 0, 0, 0]"
12,25780,95281608,88,118,48,1,,"[101, 48, 191, 0, 0]"
13,25780,95281611,56,109,87,7,,"[147, 89, 76, 0, 0]"
14,25780,95281613,3,67,176,9,Other,"[123, 155, 96, 0, 0]"
15,25780,95281615,17,131,109,6,Extended,"[142, 153, 50, 0, 0]"
16,25780,95281618,121,91,73,1,,"[120, 158, 102, 0, 0]"
17,25780,95703071,1,0,0,0,,"[0, 0, 0, 0, 0]"
18,25780,95703112,3,0,2,0,,"[1, 3, 1, 0, 0]"
19,25780,95703113,0,3,8,0,,"[5, 4, 5, 0, 0]"
20,25780,95703114,1,2,4,0,,"[4, 5, 2, 0, 0]"
21,25780,95703115,3,1,0,0,,"[1, 0, 4, 0, 0]"
22,25780,95703116,0,1,3,0,,"[2, 2, 0, 0, 0]"
23,25780,95703117,1,1,3,1,,"[2, 1, 0, 0, 0]"
24,25780,95703118,0,3,3,6,,"[4, 0, 2, 0, 0]"
25,25780,95703119,1,7,2,0,,"[5, 0, 8, 0, 0]"
26,25780,95703120,3,4,4,0,,"[5, 5, 5, 0, 0]"
27,25780,95703121,3,1,1,0,,"[3, 2, 1, 0, 0]"
28,25780,95703122,2,5,0,0,,"[4, 1, 5, 0, 0]"
29,25780,95703123,6,0,1,0,,"[2, 4, 3, 0, 0]"
30,25780,95703124,7,0,0,1,,"[0, 5, 1, 0, 0]"
31,25780,95703125,6,1,0,0,,"[0, 1, 6, 0, 0]"
32,25780,95703126,5,0,0,0,,"[0, 4, 2, 0, 0]"
33,25780,95703127,10,1,0,0,,"[2, 9, 2, 0, 0]"
34,25780,95703128,2,2,1,0,,"[1, 1, 4, 0, 0]"
35,25780,95703129,0,2,5,0,,"[6, 4, 2, 0, 0]"
36,25780,95703130,6,1,0,0,,"[0, 3, 4, 0, 0]"
37,25780,95703131,0,1,1,5,,"[0, 0, 1, 0, 0]"
38,25780,95703132,0,1,3,1,,"[2, 2, 0, 0, 0]"
39,25780,95703133,2,3,0,1,,"[1, 0, 0, 0, 0]"
40,25780,95703134,1,4,1,0,,"[2, 1, 3, 0, 0]"
41,25780,95703135,0,3,0,5,,"[1, 0, 0, 0, 0]"
42,25780,95703136,0,0,5,0,,"[2, 1, 2, 0, 0]"
43,25780,95703137,9,0,0,0,,"[0, 8, 0, 0, 0]"
44,25780,95703138,2,0,2,1,,"[2, 0, 2, 0, 0]"
45,25780,95703139,0,3,2,1,,"[2, 1, 2, 0, 0]"
46,25780,95703140,7,0,1,0,,"[0, 5, 3, 0, 0]"
47,25780,95703141,0,2,6,0,,"[6, 3, 0, 0, 0]"
48,25780,95703142,3,0,1,0,,"[0, 3, 0, 0, 0]"
49,25780,95703143,0,1,8,0,,"[5, 4, 5, 0, 0]"
50,25780,95703144,0,1,2,0,,"[3, 0, 0, 0, 0]"
51,25780,95703145,0,2,6,1,,"[4, 2, 3, 0, 0]"
52,25780,95703146,12,0,0,0,Simple,"[4, 8, 2, 0, 0]"
53,25780,95703147,3,2,0,0,,"[0, 1, 4, 0, 0]"
54,25780,95703148,0,2,5,0,,"[3, 2, 3, 0, 0]"
55,25780,95703149,1,4,0,0,,"[1, 1, 5, 0, 0]"
56,25780,95703150,0,1,3,0,,"[1, 0, 1, 0, 0]"
57,25780,95703151,5,0,0,0,,"[0, 5, 0, 0, 0]"
58,25780,95703152,1,2,4,1,,"[1, 2, 3, 0, 0]"
59,25780,95703153,1,2,2,0,,"[3, 0, 2, 0, 0]"
60,25780,95703154,6,0,1,0,,"[1, 1, 5, 0, 0]"
61,25780,95703155,0,1,5,0,,"[3, 1, 1, 0, 0]"
62,25780,95703156,2,1,1,1,,"[1, 0, 1, 0, 0]"
63,25780,95703157,1,3,3,1,,"[2, 3, 4, 0, 0]"
