Name,Answer
GRB200829A ,Extended
GRB121031A ,Other
GRB150711A ,Other
GRB170126A ,Simple
GRB220714B ,Other
GRB220701A ,Other
GRB220611A ,Other
GRB220501A ,Extended
GRB220408A ,Other
GRB220403B ,Other
GRB210822A ,Extended
GRB210730A ,Simple
GRB210726A ,Simple
GRB210722A ,Simple
GRB210708A ,Simple
GRB210618A ,Simple
GRB210610B ,Other
GRB210610A ,Other
GRB210517A ,Simple
GRB210419A ,Other
GRB210403A ,Other
GRB210419C ,
GRB210430A ,Other
GRB210420B ,
GRB210402A ,Other
GRB210323A ,Simple
GRB210318A ,Extended
GRB210218A ,Other
GRB210217A ,Simple
GRB210207B ,Other
GRB210119A ,Simple
GRB210104B ,Other
GRB201104B ,Other
GRB201229A ,Other
GRB201020A ,Simple
GRB201024A ,Simple
GRB201015A ,Extended
GRB200529A ,Extended
GRB200713A ,Other
GRB200522A ,Simple
GRB200324A ,Other
GRB200306C ,Other
GRB191024A ,Simple
GRB190719C ,Other
GRB190611A ,Extended
GRB200131A ,Extended
